id,Russian,English,orthography,transcription,prs,form2,form3,pos,additional_forms,kk,jena200,gld110,def_RU,context
112,МАЧЕХА,STEPMOTHER,бесдал ила,besdal ila,,бесдал илалъил,бесдалӀе илаби,n,,0,0,0,"Жена биологического отца, отличная от биологической матери. (Concepticon)","Моя мама умерла, а мачеха меня не любит."
113,ПАСЫНОК,STEPSON,бесдал вохья,besdal wоxʲa,,бесдал вохьящуб,бесдалӀе вохье,n,,0,0,0,Сын супруга / супруги от его / её предыдущего брака. (Concepticon),У Магомеда два родных сына и два пасынка.
114,ПАДЧЕРИЦА,STEPDAUGHTER,бесдал яхьи,besdal jaxi,,бесдал яхьилъил,бесдалӀе яхьибди,n,,0,0,0,Дочь супруга / супруги от его / её первого брака. (Concepticon),У Магомеда две родных дочери и две падчерицы.
115,СИРОТА,ORPHAN,бесдалав,besdalaw,,бесдалавщуб,бесдалавди,n,,0,0,0,"Человек, чьи родители умерли.","Родители Магомеда умерли, и он вырос сиротой."
116,ВДОВА,WIDOW,къорулай,qʼоrulaj,,къорулайлъил,къорулди,n,,0,0,0,"Женщина, чей муж умер.","Муж Патимат умер, и она осталась вдовой."
117,ВДОВЕЦ,WIDOWER,къорулав,qʼоrulaw,,къорулавщуб,къорулди,n,,0,0,0,"Мужчина, чья жена умерла.","Жена Магомеда умерла, и он остался вдовцом."
118,СЕМЬЯ,FAMILY,хъизан,qizan,,хъизанлъил,хъизанди,n,,0,0,0,"Группа близких родственников, минимально — родители и дети. Границы семьи в конкретных культурах значения не имеют; необходимо указывать слово, обозначающее минимальную такую группу (т.е. не ‘род’ и не ‘клан’).",В семье Магомеда и Патимат трое детей.
119,РОД,CLAN,тухум,tuχum,,тухумлъил,тухумди,n,,0,0,0,"Расширенная семья, то есть семья + все родственники по восходящей мужской линии, двоюродные братья и сёстры. Включать сюда как синонимы все слова для родовых групп, больших семьи, имея в виду, что существуют термины для групп меньших, чем «тухум».","1) У Магомеда жена из нашего рода. 2) Патимат не моя дочь, но она из нашего рода. 3) Наш род — мастера."
119,РОД,CLAN,кьибил,ʟʼibil,,кьибиллъил,кьибилди,n,,0,0,0,"Расширенная семья, то есть семья + все родственники по восходящей мужской линии, двоюродные братья и сёстры. Включать сюда как синонимы все слова для родовых групп, больших семьи, имея в виду, что существуют термины для групп меньших, чем «тухум».","1) У Магомеда жена из нашего рода. 2) Патимат не моя дочь, но она из нашего рода. 3) Наш род — мастера."
119,РОД,CLAN,гӀагарлъири,ʕagarɬiri,,гӀагарлъирилъил,-,n,гӀагарлъири бужи (ед.ч.) - родня поверила,0,0,0,"Расширенная семья, то есть семья + все родственники по восходящей мужской линии, двоюродные братья и сёстры. Включать сюда как синонимы все слова для родовых групп, больших семьи, имея в виду, что существуют термины для групп меньших, чем «тухум».","1) У Магомеда жена из нашего рода. 2) Патимат не моя дочь, но она из нашего рода. 3) Наш род — мастера."
120,Я,ME,дини,dini,,диб,,pron,,476,82,42a,Стилистически нейтральное личное местоимение 1 л. ед. ч. Различные формы вежливости должны быть исключены. Прямая основа + все релевантные формы косвенных падежей (м.б. давать всю парадигму). (GLD),1. Я родился в ХХ году. 2. Я прочитал эту книгу.
121,ТЫ,THOU,мини,mini,,дуб,,pron,,478,175,100a,Стилистически нейтральное личное местоимение 2 л. ед. ч. Различные формы вежливости должны быть исключены. Прямая основа + все релевантные формы косвенных падежей (м.б. давать всю парадигму). (GLD),1. В каком году ты родился? 2. Ты читал эту книгу?
122,ЭТОТ,THIS,гьаб,hab,,гьащуб,"гьабе, гьаре",pron,"гьав, гьай, гьаб, гьабе, гьаре",480,174,87,"Демонстратив в позиции приименного детерминанта, обозначающее расположение предмета вблизи от говорящего.",1. Я хорошо знаю это предание/сказку и совсем плохо помню то предание/сказку. (GLD)  2. Я знаком с этим человеком и не знаком с тем.
123,ТОТ (ОКОЛО СЛУШАЮЩЕГО),THAT (MEDIAL),гьадицеб,hadiceb,,гьадицеблъил,гьадицере (неодуш.),pron,,480,168,86,"Демонстратив в позиции приименного детерминанта, обозначающее расположение предмета вблизи от слушающего. В трёхчастных системах это медиальный демонстратив, в двухчастных — дистальный.","1. Я хорошо знаю это предание/сказку и совсем плохо помню то предание/сказку. (GLD) 2. Этот нож — мой, а тот — твой."
123,ТОТ (ОКОЛО СЛУШАЮЩЕГО),THAT (MEDIAL),гьацеб,haceb,,гьацеблъил,гьацере (неодуш.),pron,,480,168,86,"Демонстратив в позиции приименного детерминанта, обозначающее расположение предмета вблизи от слушающего. В трёхчастных системах это медиальный демонстратив, в двухчастных — дистальный.","1. Я хорошо знаю это предание/сказку и совсем плохо помню то предание/сказку. (GLD) 2. Этот нож — мой, а тот — твой."
124,"ТОТ (ВДАЛИ, ПО ГОРИЗОНТАЛИ)","THAT (DISTAL, HORIZONTAL)",вудицев,wudicew,,,,n,,480,0,0,"Демонстратив в позиции приименного детерминанта, указывающий на объект, далёкий от говорящего и слушающего, на равном с ними уровне высоты.",Мой брат живёт на том берегу реки.
125,МЫ (ЭКСКЛЮЗИВНОЕ),WE (EXCLUSIVE),ищи,išːi,,ищиб,,pron,,477,0,94b,"Эксклюзивное местоимение 1 лица множественного числа, т.е. исключающее слушающего. Не использовать формы, использующиеся только эмфатически или в контрастивной функции. Если есть отдельные формы мужского и женского рода, но одна из них является также немаркированной, вводить последнюю. Если есть формы разного рода, но нет немаркированной, — вводить их синонимами. Не использовать двойственное число или специальные вежливые формы. Если в языке нет различия по инклюзивности, следует вводить одно и то же слово в обоих значениях.","Мы пойдём на охоту, а вы — нет. - Ищи муэде чаналар, амма бищди гьач1и."
126,МЫ (ИНКЛЮЗИВНОЕ),WE (INCLUSIVE),илӀи,iʟi,,илӀиб,,pron,,477,189,94a,"Инклюзивное местоимение 1 лица множественного числа, т.е. включающее в референцию слушающего (‘мы с тобой’). Не использовать формы, использующиеся только эмфатически или в контрастивной функции. Если есть отдельные формы мужского и женского рода, но одна из них является также немаркированной, вводить последнюю. Если есть формы разного рода, но нет немаркированной, — вводить их синонимами. Не использовать двойственное число или специальные вежливые формы. Если в языке нет различия по инклюзивности, вводить одно и то же слово в обеих функциях.","Мы с тобой друзья, а он — не наш друг. (GLD) - ил1и гьудулади эгу, амма вудив ил1ив гьудул гьач1и"
127,ВЫ,YOU (PLURAL),бищди,bišːdi,,бищдиб,,n,,479,205,0,Местоимение второго лица множественного числа.,"Мы пойдём на охоту, а вы — нет."
128,СЕБЯ,SELF,живги,žiwgi,,инщубги,жибеги,n,,481,0,0,"Местоимение 3 лица, используемое в позиции прямого объекта, кореферентное подлежащему.",1. Мальчик сам срубил дерево. 2. Он увидел себя в зеркале. -Вохьящуд инщудги букъи рухья. 2. Вудищува вола живги мат1уни.
128,СЕБЯ,SELF,инщудги,inšːudgi,,инщубги,инщубеги,n,,481,0,0,"Местоимение 3 лица, используемое в позиции прямого объекта, кореферентное подлежащему.",1. Мальчик сам срубил дерево. 2. Он увидел себя в зеркале. -Вохьящуд инщудги букъи рухья. 2. Вудищува вола живги мат1уни.
129,ЗВЕРЬ,WILD ANIMAL,жанавар,žanawar,,жанаварлъил,жанаварди,n,,0,0,0,"Не домашнее животное, живущее отдельно от человека. (Concepticon) При наличии различия между хищными и травоядными животными, именно хищное животное.",Звери съели телёнка.
130,ДЕТЕНЫШ,CUB,балъа,baɬa,,балъул,балъиби,n,,473,0,0,"Общее слово для ребёнка животного; как правило, дикого, так как для домашних существуют отдельные термины в зависимости от вида.",Звери охраняют своих детёнышей.
131,СКОТ (ДОМАШНИЙ),LIVESTOCK,боцӀцӀур,bоcʼːur,,боцӀцӀурлъил,-,n,,0,0,0,"Рогатый скот, лошади и другие важные в хозяйстве домашние животные. (Concepticon)Имеется в виду именно собирательный термин, а не слово для отдельного домашнего животного. Часто это будет форма множественного числа.",В нашем селении держат много скотины.
132,ПАСТБИЩЕ (ЛЕТНЕЕ),PASTURE (SUMMER),олу,оlu,,олул,олубади,n,олула - на пастбище,0,0,0,"Покрытая травой земля, пригодная для выпаса скота. (Concepticon)",Летом я отвёл овец на пастбище.
132,ПАСТБИЩЕ (ЛЕТНЕЕ),PASTURE (SUMMER),беса,besa,,бесал,бесабади,n,бесала - на пастбище,0,0,0,"Покрытая травой земля, пригодная для выпаса скота. (Concepticon)",Летом я отвёл овец на пастбище.
133,ПАСТУХ (КОРОВ),HERDSMAN (OF COWS),(зинел) ихьва,(zinel) ixʷa,,ихьващуб,ихьу,n,,115,0,0,"Человек, пасущий крупный рогатый скот.",Пастух отвёл скотину домой.
134,ЧАБАН,SHEPHERD,(чахъудал) ихьва,(čaqudal) ixʷa,,ихьващуб,ихьу,n,,115,0,0,"Человек, пасущий овец.",Чабан отвёл овец на пастбище.
135,ХЛЕВ,CATTLE SHED,бекьи,beʟʼi,,бекьул,бекьалди,n,бекьикӀуре зине  - коровы в хлеву,392,0,0,Крытое сооружение для крупного рогатого скота.,Загони скотину в хлев.
136,ОВЧАРНЯ,SHEEP SHED,чахъудал бекьи,čaqudal beʟʼi,,чахъудал бекьул,чахъудалӀе бекьалди,n,ригьа бекьи эгу - овцы в овчарне,0,0,0,Крытое сооружение для овец.,Загони овец в овчарню.
136,ОВЧАРНЯ,SHEEP SHED,ригьал бекьи,rihal beʟʼi,,бекьул,бекьалди,n,ригьа бекьи эгу - овцы в овчарне,0,0,0,Крытое сооружение для овец.,Загони овец в овчарню.
137,ЗАГОН ДЛЯ ДОЙКИ ОВЕЦ,SHEEP MILKING SHED,коли,kоli,,колилул,"колибади, колаби",n,ригьа кьирдуб колили эгу - овцы в загоне для дойки,393,0,0,"Ограждённое или окружённое место, в котором доят овец.",Овцы идут на место дойки.
138,СЕНОВАЛ,HAYLOFT,бегъва,beʁʷa,,бегъвал,бегъвабади,n,бегъвани - на сеновале,394,0,0,Постройка для хранения сена.,Мы заполнили сеновал сеном.
139,ГУМНО,THRESHING-FLOOR,гьинцӀцӀу,hincʼːu,,гьинцӀцӀул,"гьинцӀцӀубади, гьинцӀцӀаби",n,усалиби гьинцӀцӀи эгу - быки на гумне,397,0,0,"Площадка для молотьбы пшеницы, чаще всего открытая. То же, что «ток».",На току молотят пшеницу.
140,СНОП,SHEAF,коли,kоli,,"колилул, колилъил","колди, колаби",n,,398,0,0,"Базовый термин для связки злаков, которую можно взять в охапку и перенести. Если в языке имеется отдельный термин для снопа сена, использовать термин именно для злаков.",Мы связали пшеницу в снопы. [Приложить иллюстрацию]
141,СТОГ,STACK,ихитӀар,iχitʼar,,"ихитӀарил, ихитӀарлъил",ихитӀарди,n,,399,0,0,"Базовый термин для злаков, собранных для хранения на поле. Если в языке имеется отдельный термин для стога сена, использовать термин именно для злаков.",Мы сложили снопы в стог. [Приложить иллюстрацию]
142,СТОГ БОЛЬШОЙ,LARGE STACK,гӀарахъ,ʕaraq,,гӀарахъул,гӀарахъиби,n,,0,0,0,Наиболее распространённый вид крупного стога (скирда и т.д.).,Мелкие стога собрали в большой стог. - Ихит1ардал г1арахъ гигьи.
143,КОРОВА,COW,зюНв,zʲũw,,зюНвлъил,зине,n,,122,0,0,"Взрослая женская особь коровы. Как правило, нейтральный термин для коровы вообще.","1. Корова даёт молоко. 2. В нашем селении держат коров (КРС), а овец не держат."
144,БЫК,BULL,бугъа,buʁa,,бугъил,бугъиби,n,,123,0,0,"Взрослая некастрированная особь коровы мужского пола, бык-производитель.","1. Бык защищает стадо. 2. Поле вспахивают не на быках, а на волах."
145,ВОЛ,OX,уНса,ũsa,,уНсул,уНсалиби,n,,124,0,0,Кастрированный взрослый бык.,1. Я вспахиваю поле при помощи волов. 2. Вол не даёт потомства.
146,ТЕЛКА,HEIFER,чӀара,čʼara,,чӀарул,чӀариби,n,,125,0,0,"Молодая особь коровы от 1 до 3 лет, ещё не отелившаяся.","1. Тёлок и бычков пасут отдельно. 2. Эта корова ещё не отелялась, она тёлка."
147,БЫЧОК,BULL-CALF,гъечӀа,ʁečʼa,,гъечӀул,гъечӀиби,n,,127,0,0,"Молодая особь быка, от 1 до 3 лет.",Бычков пасут отдельно от взрослых коров.
148,ТЕЛЁНОК,CALF,гьанигьа,haniha,,гьанигьул,гьанигьиби,n,,126,0,0,Особь коровы до 1 года.,Вчера наша корова родила телёнка.
149,МЕТКА НА УХЕ ОВЦЫ,EARMARK,гӀанжи,ʕanži,,гӀанжил,гӀанжибади,n,,86,0,0,"Надрез на ухе овцы, обозначающий её собственника.",У овец каждой семьи своя метка.
150,ОВЦА (ОБЩЕЕ СЛОВО),SHEEP (IRRESP. OF GENDER),ишикӀвал,išikʼʷal,,ишикӀваллъил,ишикӀвалди,n,,117,0,0,Общее слово для возрослой особи овцы.,"Овец разводят для мяса, шерсти и молока."
150,ОВЦА (ОБЩЕЕ СЛОВО),SHEEP (IRRESP. OF GENDER),ригьа,riha,,ригьал,ригье,n,,117,0,0,Общее слово для возрослой особи овцы.,"Овец разводят для мяса, шерсти и молока."
150,ОВЦА (ОБЩЕЕ СЛОВО),SHEEP (IRRESP. OF GENDER),чахъу,čaqu,,чахъул,чахъуди,n,,117,0,0,Общее слово для возрослой особи овцы.,"Овец разводят для мяса, шерсти и молока."
151,БАРАН,RAM,куНй,kũj,,"куНйл, куНйлъил",куНди,n,,119,0,0,Взрослая особь овцы мужского пола.,"Баран не даёт молока, а овцематка — даёт."
152,ОВЦЕМАТКА,EWE,келъидуб чахъу,keɬidub čaqu,,келъидуб чахъул,келъидуре чахъуди,n,,118,0,0,"Взрослая особь овцы женского пола, способная рожать детей.","1. Овцематка родила ягнёнка. 2. Баран не даёт молока, а овцематка — даёт."
153,ЯГНЁНОК (< 1 ГОДА),LAMB (< 1 YEAR),цӀцӀири,cʼːiri,,цӀцӀирал,цӀцӀираби,n,,120,0,0,Особь овцы до 1 года.,1. Овцематка родила ягнёнка. 2. У ягнят мало шерсти.
154,ОВЦА МОЛОДАЯ (1-3 ГОДА),YOUNG SHEEP (1-3 YEARS),гьаркӀкӀин,harkʼːin,,гьаркӀкӀинал,гьаркӀкӀинди,n,,121,0,0,Молодая особь овцы женского пола от 1 до 3 лет.,Молодые овцы не рожают.
155,БАРАШЕК (1-3 ГОДА),YOUNG RAM (1-3 YEARS),леблаб,leblab,,леблаблъил,лебларе,n,,0,0,0,"Молодая особь овцы мужского пола, от 1 до 3 лет.",1. Барашки не дают потомства. 2. Мясо барашка вкуснее мяса взрослого барана.
156,КАБАН,BOAR,болъун,bоɬun,,болъунал,болъунади,n,,148,0,0,"Наименее маркированный в данной культуре представитель семейства свиней (Suidae). В Дагестане — дикий кабан (Sus scrofa). В культурах с развитым свиноводством — как правило, домашняя свинья (Sus scrofa domesticus).",1. Кабаны/свиньи растоптали поле. 2. Мусульманам нельзя есть мясо кабана/свиньи.
157,КОЗА,SHE-GOAT,цӀцӀиналӀу,cʼːinaʟu,,цӀцӀиналӀул,цӀцӀиналӀиби,n,,135,0,0,"Общее слово для взрослой особи козы (как правило, также для козы женского пола).",1. У коз бывают рога и борода. 2. Коза родила козлёнка.
158,КОЗЁЛ,HE-GOAT,тӀукя,tʼukʲa,,тӀукул,тӀукяди,n,,136,0,0,Взрослая особь козы мужского пола.,"1. Козёл ходит перед стадом. 2. Коза даёт молоко, козёл — нет."
159,КОЗА МОЛОДАЯ (1-3 ГОДА),YOUNG SHE-GOAT (1-3 YEARS),гӀеккин,ʕekːin,,гӀеккинал,гӀеккинди,n,,138,0,0,Особь козы от 1 до 3 лет.,1. Молодые козы не могут иметь детей. 2. Молодые козы не дают молока.
160,КОЗЛЁНОК,KID (< 1 YEAR),цаку,caku,,цакул,цакуди,n,,137,0,0,Особь козы или козла до 1 года.,Наша коза вчера родила козлёнка.
161,ЛОШАДЬ,HORSE (IRRESP. OF GENDER),хьони,xоni,,хьонил,хьонаби,n,,128,0,0,Нейтральное слово для домашнего животного вида <i>equus caballus.</i>,1. Раньше люди ездили в поездки на лошадях. 2. Арбу запрягают лошадьми или ослами.
162,ЖЕРЕБЕЦ,STALLION,барти,barti,,бартил,бартаби,n,,130,0,0,Некастрированная взрослая особь лошади мужского пола.,"Жеребец сильнее, чем кобыла."
163,КОБЫЛА,MARE,гӀибчва,ʕibčʷa,,гӀибчвал,гӀибчвади,n,,129,0,0,Взрослая особь лошади мужского пола.,1. Вчера наша кобыла родила жеребёнка. 2. Кобыла слабее жеребца.
164,ЖЕРЕБЁНОК,FOAL,тай,taj,,тайл,табди,n,,131,0,0,"Детёныш лошади, ещё не отлучённый от груди. (Concepticon)",Вчера наша кобыла родила жеребёнка.
165,ОСЕЛ,DONKEY,хӀамар,ħamar,,хӀамарил,хӀамариби,n,,132,0,0,Домашнее животное вида <i>Equus asinus</i>.,1. Раньше поклажу возили на ослах. 2. Осёл меньше лошади.
166,ОСЛЁНОК,FOAL OF DONKEY,кӀянкӀя,kʼʲankʼʲa,,кӀянкӀул,кӀянкӀиби,n,,133,0,0,"Детёныш осла. Если для молодых ослов есть несколько терминов, используется термин для новорождённого.",Вчера наша ослица родила ослёнка.
167,МУЛ,MULE,хӀорцӀцӀим,ħоrcʼːim,,хӀорцӀцӀимал,хӀорцӀцӀимди,n,,134,0,0,Гибрид осла мужского пола и лошади женского пола. (Concepticon),Мул рождается от осла и кобылы.
168,ПЕТУХ,ROOSTER,хъутӀа,qutʼa,,хъутӀил,хъутӀиби,n,,144,0,0,"Курица (<i>Gallus gallus domesticus</i>) мужского пола, домашняя птица. (Concepticon)",1. Утром петухи поют. 2. Один петух живёт с несколькими курами.
169,КУРИЦА,HEN,йигӀачу,jiʕaču,,йигӀачул,йигӀачиби,n,,143,0,0,Взрослая курица женского пола.,Куры несут яйца.
170,ЦЫПЛЁНОК,CHICK,йигӀачул балъа,jiʕačul baɬa,,йигӀачул балъул,йигӀачулӀе балъиби,n,,0,0,0,"Молодая особь курица, не достигшая зрелости. (Concepticon)",1. Вчера у нас вылупилось три цыплёнка. 2. Цыплята вылупляются из яиц.
171,ГУСЬ,GOOSE,хъаза,qaza,,хъазул,хъазади,n,,0,0,0,Водоплавающая птица (<i>Anser</i>) семейства утиных (<i>Anatidae</i>). (Concepticon),1. Гуси любят ровное место. 2. Этот гусь любит щипаться.
172,УТКА,DUCK,ордик,оrdik,,ордикул,ордикиби,n,,0,0,0,Водоплавающая птица семейства утиных с плоским клювом и перепончатыми лапами. (Concepticon),Утки водятся на больших реках и озёрах.
173,ГНЕЗДО,NEST,берхьван,berxʷan,,берхьванул,берхьванди,n,,169,0,0,"Структура, которую строят птицы на деревьях, в которой они живут и откладывают яйца.",1. Птицы откладывают яйца в своих гнёздах. 2. Я видел на кустарнике гнездо воробья.
174,ПТИЦА,BIRD,щакиба,šːakiba,,щакибал,щакибди,n,,168,12,6,"Самое общее слово для представителя класса птиц (<i>Aves</i>). Когда это возможно, избегать специальных слов для больших, маленьких или хищных птиц. Избегать специальных слов для домашних птиц (ср. англ. <i>fowl</i>).",1. В лесу поют птицы. 2. Птицы откладывают яйца.
175,ЦАПЛЯ,HERON,хӀанкъва,ħanqʼʷa,,хӀанкъвал,хӀанкъвабади,n,,162,0,0,"Длинноногая, длинношеея болотная птица семейства цаплевых (<i>Ardeidae</i>). (Concepticon)",1. Цапли живут на болотах. 2. У цапли длинные ноги.
176,ОРЕЛ,EAGLE,цӀцӀуНй,cʼːũj,,цӀцӀуНйл,цӀцӀунди,n,,157,0,0,"Наиболее типичный для данного ареала представитель рода орлов (<i>Aquila</i>). В кавказском контексте это, вероятнее всего, беркут (<i>Aquila chrysaetos</i>).",1. Орёл большой и высоко летает. 2. Под той скалой находится орлиное гнездо.
177,ЯСТРЕБ,HAWK,хъарччигъа,qarčːiʁa,,хъарччигъал,хъарччигъади,n,,157,0,0,"Наиболее типичный для данного ареала представитель рода настоящих ястребов (<i>Accipiter</i>). В связи со сложностью идентификации лексема входит в необязательную часть списка и вводится только в случае, если консультант знаком с этой областью лексики.",Ястреб ловит кур.
178,СОКОЛ,FALCON,хъиргъу,qirʁu,,хъиргъул,хъиргъубади,n,,157,0,0,"Наиболее типичный для данного ареала представитель рода соколов (Falco). В связи со сложностью идентификации лексема входит в необязательную часть списка и вводится только в случае, если консультант знаком с этой областью лексики.",Сокол охотится на мышей.
179,ЛЕТУЧАЯ МЫШЬ,BAT,къехьилул щакиба,qʼexilul šːakiba,,къехьилул щакибул,къехьилулӀе щакибди,n,,0,0,0,"Ночное летающее млекопитающее, похожее на мышь с перепончатыми крыльями.",1. Летучие мыши летают в темноте. 2. Летучая мышь — не птица.
180,ВОРОНА,CROW,гъанди,ʁandi,,гъандил,гъанде,n,,158,0,0,"Чёрная птица рода воронов (<i>Corvus</i>). Поскольку отличить ворону от других похожих чёрных птиц (например, воронов) бывает непросто, вводится имя наиболее типичного представителя этого рода.",1. Вороны громко каркают. 2. Ворона унесла сыр.
181,СОРОКА,MAGPIE,чаргъанду,čarʁandu,,чаргъандул,чаргъандубади,n,,160,0,0,Чёрно-белая птица из рода сорок (<i>Pica</i>).,"У сороки белое брюхо, у вороны — чёрное."
182,ГАЛКА,JACKDAW,чӀчӀигъа,čʼːiʁa,,чӀчӀигъал,чӀчӀигъади,n,,159,0,0,Маленькая птица семейства врановых (Coloeus monedula). Отличается от вороны прежде всего маленьким размером.,Галка меньше вороны.
183,ГОЛУБЬ,DOVE,гъугъу,ʁuʁu,,гъугъул,гъугъади,n,,166,0,0,Птица семейства голубиных (<i>Columbidae</i>). (Concepticon),1. Голубь ест остатки пищи. 2. Голуби людей не боятся.
184,ВОРОБЕЙ,SPARROW,хӀаквара,ħakʷara,,хӀакварал,хӀакварди,n,,0,0,0,Маленькая певчая птица из семейства воробьиных (<i>Passeridae</i>). (Concepticon),"1. Воробей меньше голубя. 2. Воробьи поют, а голуби нет."
185,СОВА,OWL,бугьу,buhu,,бугьул,бугьубади,n,,163,0,0,"Ночная хищная птица из семейства настоящих сов (Strigidae). Поскольку языковая номенклатура плохо соответствует научной, следует для значения ‘сова’ вводить птицу среднего размера, а для значения ‘филин’, — более крупного, если для неё есть отдельное слово.",1. Сова охотится ночью. 2. Сова ловит мышей.
186,ФИЛИН,EAGLE-OWL,бугьу,buhu,,бугьул,бугьубади,n,,0,0,0,"Ночная хищная птица из семейства настоящих сов (Strigidae). Поскольку языковая номенклатура плохо соответствует научной, следует для значения ‘сова’ вводить птицу среднего размера, а для значения ‘филин’, — более крупного, если для неё есть отдельное слово.",
187,КУКУШКА,CUCKOO,гигу,gigu,,гигул,гигубади,n,,161,0,0,Птица из семейства кукушковых (<i>Cuculidae</i>). Определяется прежде всего по характерному звуку.,В лесу громко поёт кукушка.
188,УЛАР,SNOWCOCK,рухьул йигӀачу,ruxul jiʕaču,,рухьул йигӀачул,рухьулӀе йигӀачиби,n,,164,0,0,Горная индейка (Tetraogallus caucasicus).,1. Улар живёт в горах. 2. Улар не умеет летать. 3. Улар больше курицы.
189,КУРОПАТКА,PARTRIDGE,гъагъиба,ʁaʁiba,,гъагъабул,гъагъибади,n,,165,0,0,"Птица из рода куропаток (Perdix), чаще всего Perdix perdix.",1. Куропатка меньше курицы. 2. Яйца куропатки бывают разноцветные.
190,ЛАСТОЧКА,SWALLOW,милъирщу,miɬiršːu,,милъирщу,милъирщуди,n,,167,0,0,Любая птица из семейства ласточковых (<i>Hirundinidae</i>). Характерный признак — разветвлённый хвост.,1. У ласточки хвост делится на две части. 2. Ласточка свила гнездо под крышей.
191,СОБАКА,DOG,гьой,hоj,,гьой,гьоди,n,,139,31,17,"Самое общее слово для представителя вида <i>canis familiaris</i>. Домашняя собака. Отличать от названий конкретных пород и специальных слов для собак определённого возраста или пола (‘щенок’, ‘сука’ и т.д.). (Kassian et al. 2010). Избегать названий охотничьих собак, напр. англ. <i>hound</i>. (CoBL)","1. Собака охраняет овец. 2. Собака живёт с человеком, а дикие звери — нет."
192,СУКА,FEMALE DOG,чиба,čiba,,чибал,чибади,n,,140,0,0,Взрослая собака женского пола.,Сука родила щенят.
193,ЩЕНОК,PUPPY OF DOG,кӀунцӀцӀи,kʼuncʼːi,,кӀунцӀцӀал,кӀунцӀцӀаби,n,,141,0,0,Детёныш собаки.,Щенок играется с кошкой.
194,ЗАЯЦ,HARE,кьанкӀяла,ʟʼankʼʲala,,кьанкӀялул,кьанкӀялди,n,,152,0,0,"Млекопитающее из семейства зайцевых (Leporidae), имеющее длинные уши, короткий хвост и задние лапы, которые короче передних и позволяют быстро бегать. (Concepticon)",Заяц убежал от волка.
195,КОШКА,CAT,кету,ketu,,кетул,кетаби,n,,142,0,0,"Четвероногое животное (<i>Felis silvestris</i>), которое живёт вблизи жилища людей и ловит мышей.","1. Кошка ловит мышей. 2. Кошку держат в доме, собаку — нет."
196,МЫШЬ,MOUSE,гьеркӀкӀва,herkʼʷːa,,гьеркӀкӀвал,гьеркӀкӀвади,n,,155,0,0,"Грызун из семейства мышиных (Muridae), имеющее длинный хвост, закруглённые уши и острый нос. При наличии отдельного слова для ‘крысы’ использовать наименее маркированное обозначение маленькой мыши.",1. Мыши съели весь хлеб. 2. Кошки ловят мышей.
197,КРЫСА,RAT,гӀанххвара,ʕanχʷːara,,гӀанххварал,гӀанххварди,n,,0,0,0,Мышеподобный грызун крупного размера.,
198,БАРСУК,BADGER,бакьуч,baʟʼuč,,бакьучил,бакьучиби,n,,153,0,0,Млекопитающее из рода барсуков (Meles) семейства куньих (Mustelidae).,
199,КУНИЦА,MARTEN,цакьу,caʟʼu,,цакьул,цакьубади,n,,154,0,0,"Пушной зверь рода ласок и хорьков (Mustela). Используется наиболее нейтральный термин для пушного зверя-домашнего вредителя и объекта охоты, так как выделить отдельные виды едва ли возможно.",1. Куница унесла курицу. 2. Из меха куницы можно сделать шубу.
200,БЕЛКА,SQUIRREL,хухуца,χuχuca,,хухуцал,хухуцади,n,,154,0,0,Один из грызунов рода белок (Sciurus) семейства беличьих (Sciuridae).,1. Белка ест орехи. 2. Белки живут в лесу.
201,ЁЖ,HEDGEHOG,гӀужрукъ,ʕužruqʼ,,гӀужрукъул,гӀужрукъди,n,,156,0,0,"Небольшое млекопитающее из подсемейства настоящих ежей (Erinaceinae), которое характеризуется колючей спиной и способностью сворачиваться в шар для защиты от нападения. (Concepticon)",1. Ёж колючий. 2. Ежи катятся при нападении.
202,РЫБА,FISH,ччугӀа,čːuʕa,,ччугӀил,ччугӀиби,n,,170,51,28,"Наиболее общее слово для живой рыбы (холоднокровное водное позвоночное с чешуёй, плавниками и жабрами). Избегать слов для уже пойманной, приготовленной или очищенной рыбы. Избегать специальных слов для речной или морской рыбы. (основано на CoBL)","1. Все рыбы живут в воде. 2. Птицы летают, а рыбы плавают. 3. Я хочу поймать эту рыбу."
203,ВОЛК,WOLF,бацӀа,bacʼa,,бацӀул,бацӀиби,n,,150,0,0,"Крупный дикий представитель семейства псовых (Canidae), близкий родственник собаки. (Concepticon)","1. Волки охотятся на зайцев. 2. Волки похожи на собак. 3. Волки живут в лесу, собаки охраняют людей."
204,МЕДВЕДЬ,BEAR,сиН,sĩ,,сиНл,синди,n,,149,0,0,"Особь любого вида семейства медвежьих (Ursidae). Крупное всеядное млекопитающее, живущее в лесу.",1. Медведи зимой спят. 2. Медведи любят есть мёд.
205,ЛИСА,FOX,сари,sari,,сарал,сараби,n,,151,0,0,"Небольшое хищное животное рода лисиц (Vulpes) семейства псовых (Canidae), чаще всего Vulpes Vulpes.",1. Лиса поймала курицу. 2. У лис большой хвост.
206,ОЛЕНЬ,DEER,ритӀучӀ,ritʼučʼ,,ритӀучӀил,ритӀучӀиби,n,,147,0,0,Самое общее слово для представитель семейства оленьих (Cervidae). Отличается большими рогами.,1. Олени живут высоко в горах. 2. У оленей большие рога.
